2021-05-10 18:40:42,057:INFO:[Rank-0] args : Namespace(batch=384, dataset='cifar100', epochs=100, lr=0.01, rank=0, train_type='proposal', world=4)
2021-05-10 18:41:14,448:INFO:[Rank-0] step time 0.3829, epoch   0, step  28/131, loss 6.74690015, auc@1 1.15, auc@5 5.95, share 11, std_loss 0.4294051200683628,  6.80786 6.96636 7.10554 7.18106
2021-05-10 18:41:15,023:INFO:[Rank-0] step time 0.5735, epoch   0, step  29/131, loss 6.71203276, auc@1 1.19, auc@5 5.96, share 12, std_loss 0.42047019379919975,  6.71203 6.81194 6.94239 7.10569
2021-05-10 18:41:15,576:INFO:[Rank-0] step time 0.5517, epoch   0, step  30/131, loss 6.64109950, auc@1 1.22, auc@5 5.94, share 13, std_loss 0.41288141037027043,  6.64110 6.73461 6.88567 7.08256
2021-05-10 18:41:16,124:INFO:[Rank-0] step time 0.5458, epoch   0, step  31/131, loss 6.57620627, auc@1 1.18, auc@5 5.88, share 14, std_loss 0.40636325675633644,  6.57621 6.67240 6.83896 7.05731
2021-05-10 18:41:16,670:INFO:[Rank-0] step time 0.5446, epoch   0, step  32/131, loss 6.51311757, auc@1 1.17, auc@5 5.79, share 15, std_loss 0.40032497863285244,  6.51312 6.62316 6.77180 7.00585
2021-05-10 18:41:17,222:INFO:[Rank-0] step time 0.5498, epoch   0, step  33/131, loss 6.45524419, auc@1 1.14, auc@5 5.74, share 16, std_loss 0.3951683389869603,  6.45524 6.56022 6.71513 6.98467
2021-05-10 18:41:17,773:INFO:[Rank-0] step time 0.5490, epoch   0, step  34/131, loss 6.40114885, auc@1 1.13, auc@5 5.70, share 17, std_loss 0.39057553406147394,  6.40115 6.53347 6.65613 6.96053
2021-05-10 18:41:18,327:INFO:[Rank-0] step time 0.5538, epoch   0, step  35/131, loss 6.36851168, auc@1 1.13, auc@5 5.62, share 18, std_loss 0.38641161429030557,  6.36851 6.51653 6.61197 6.94583
2021-05-10 18:41:18,705:INFO:[Rank-0] step time 0.3771, epoch   0, step  36/131, loss 6.33713068, auc@1 1.10, auc@5 5.64, share 18, std_loss 0.3824778606908189,  6.36851 6.51653 6.61197 6.94583
2021-05-10 18:41:19,111:INFO:[Rank-0] step time 0.4050, epoch   0, step  37/131, loss 6.29960546, auc@1 1.10, auc@5 5.63, share 18, std_loss 0.3786966967824343,  6.36851 6.51653 6.61197 6.94583
2021-05-10 18:41:19,516:INFO:[Rank-0] step time 0.4043, epoch   0, step  38/131, loss 6.25534629, auc@1 1.07, auc@5 5.70, share 18, std_loss 0.37491104418509885,  6.36851 6.51653 6.61197 6.94583
2021-05-10 18:41:19,893:INFO:[Rank-0] step time 0.3764, epoch   0, step  39/131, loss 6.21230068, auc@1 1.12, auc@5 5.74, share 18, std_loss 0.3712878882502898,  6.36851 6.51653 6.61197 6.94583
2021-05-10 18:41:20,487:INFO:[Rank-0] step time 0.5928, epoch   0, step  40/131, loss 6.17826352, auc@1 1.12, auc@5 5.68, share 19, std_loss 0.367884018458426,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:20,870:INFO:[Rank-0] step time 0.3821, epoch   0, step  41/131, loss 6.15349664, auc@1 1.09, auc@5 5.72, share 19, std_loss 0.364478963722543,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:21,261:INFO:[Rank-0] step time 0.3902, epoch   0, step  42/131, loss 6.12395414, auc@1 1.09, auc@5 5.65, share 19, std_loss 0.3610807637728396,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:21,640:INFO:[Rank-0] step time 0.3785, epoch   0, step  43/131, loss 6.09010211, auc@1 1.07, auc@5 5.62, share 19, std_loss 0.3578169399569201,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:22,035:INFO:[Rank-0] step time 0.3949, epoch   0, step  44/131, loss 6.05911121, auc@1 1.14, auc@5 5.66, share 19, std_loss 0.3546165300702507,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:22,446:INFO:[Rank-0] step time 0.4101, epoch   0, step  45/131, loss 6.02573387, auc@1 1.16, auc@5 5.69, share 19, std_loss 0.35144468396902084,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:22,827:INFO:[Rank-0] step time 0.3796, epoch   0, step  46/131, loss 5.99521719, auc@1 1.18, auc@5 5.80, share 19, std_loss 0.3483167697230111,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:23,222:INFO:[Rank-0] step time 0.3942, epoch   0, step  47/131, loss 5.96459486, auc@1 1.22, auc@5 5.83, share 19, std_loss 0.3452372394026594,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:23,608:INFO:[Rank-0] step time 0.3860, epoch   0, step  48/131, loss 5.93490585, auc@1 1.28, auc@5 5.84, share 19, std_loss 0.3422298907923202,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:24,004:INFO:[Rank-0] step time 0.3955, epoch   0, step  49/131, loss 5.90880386, auc@1 1.28, auc@5 5.78, share 19, std_loss 0.33925365474151103,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:24,416:INFO:[Rank-0] step time 0.4113, epoch   0, step  50/131, loss 5.88577689, auc@1 1.31, auc@5 5.79, share 19, std_loss 0.3363183061778545,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:24,795:INFO:[Rank-0] step time 0.3778, epoch   0, step  51/131, loss 5.86100260, auc@1 1.31, auc@5 5.76, share 19, std_loss 0.33342137392245086,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:25,187:INFO:[Rank-0] step time 0.3922, epoch   0, step  52/131, loss 5.83700887, auc@1 1.32, auc@5 5.87, share 19, std_loss 0.33057623342252695,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:25,598:INFO:[Rank-0] step time 0.4096, epoch   0, step  53/131, loss 5.81406142, auc@1 1.30, auc@5 5.80, share 19, std_loss 0.32778132847457564,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:25,977:INFO:[Rank-0] step time 0.3788, epoch   0, step  54/131, loss 5.79053429, auc@1 1.29, auc@5 5.83, share 19, std_loss 0.3250366009219929,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:26,374:INFO:[Rank-0] step time 0.3959, epoch   0, step  55/131, loss 5.76836793, auc@1 1.31, auc@5 5.83, share 19, std_loss 0.3223488077521324,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:26,782:INFO:[Rank-0] step time 0.4079, epoch   0, step  56/131, loss 5.74827672, auc@1 1.28, auc@5 5.75, share 19, std_loss 0.31970267330429386,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:27,164:INFO:[Rank-0] step time 0.3807, epoch   0, step  57/131, loss 5.72832272, auc@1 1.33, auc@5 5.87, share 19, std_loss 0.31710277040276613,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:27,544:INFO:[Rank-0] step time 0.3793, epoch   0, step  58/131, loss 5.70833105, auc@1 1.35, auc@5 5.85, share 19, std_loss 0.3145492597129838,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:27,930:INFO:[Rank-0] step time 0.3858, epoch   0, step  59/131, loss 5.68851507, auc@1 1.36, auc@5 5.93, share 19, std_loss 0.31204529624369187,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:28,341:INFO:[Rank-0] step time 0.4100, epoch   0, step  60/131, loss 5.66904294, auc@1 1.39, auc@5 6.01, share 19, std_loss 0.30958352945744994,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:28,732:INFO:[Rank-0] step time 0.3912, epoch   0, step  61/131, loss 5.65082699, auc@1 1.38, auc@5 6.03, share 19, std_loss 0.30715947402793853,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:29,129:INFO:[Rank-0] step time 0.3961, epoch   0, step  62/131, loss 5.63467642, auc@1 1.36, auc@5 6.03, share 19, std_loss 0.304772732839469,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:29,518:INFO:[Rank-0] step time 0.3881, epoch   0, step  63/131, loss 5.61690039, auc@1 1.39, auc@5 6.07, share 19, std_loss 0.30242722552447093,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:29,932:INFO:[Rank-0] step time 0.4134, epoch   0, step  64/131, loss 5.60138896, auc@1 1.37, auc@5 6.10, share 19, std_loss 0.3001152150100097,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:30,341:INFO:[Rank-0] step time 0.4080, epoch   0, step  65/131, loss 5.58715043, auc@1 1.39, auc@5 6.11, share 19, std_loss 0.2978332422100581,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:30,745:INFO:[Rank-0] step time 0.4033, epoch   0, step  66/131, loss 5.57102304, auc@1 1.44, auc@5 6.16, share 19, std_loss 0.29559369080445985,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:31,124:INFO:[Rank-0] step time 0.3787, epoch   0, step  67/131, loss 5.55805613, auc@1 1.43, auc@5 6.17, share 19, std_loss 0.2933824726227504,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:31,521:INFO:[Rank-0] step time 0.3955, epoch   0, step  68/131, loss 5.54411448, auc@1 1.41, auc@5 6.20, share 19, std_loss 0.2912024709889117,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:31,934:INFO:[Rank-0] step time 0.4126, epoch   0, step  69/131, loss 5.52979303, auc@1 1.43, auc@5 6.33, share 19, std_loss 0.2890602377229843,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:32,314:INFO:[Rank-0] step time 0.3789, epoch   0, step  70/131, loss 5.51623022, auc@1 1.46, auc@5 6.38, share 19, std_loss 0.28695328842316353,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:32,717:INFO:[Rank-0] step time 0.4025, epoch   0, step  71/131, loss 5.50231901, auc@1 1.48, auc@5 6.41, share 19, std_loss 0.2848814640876273,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:33,142:INFO:[Rank-0] step time 0.4247, epoch   0, step  72/131, loss 5.48929870, auc@1 1.49, auc@5 6.41, share 19, std_loss 0.2828407719110449,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:33,522:INFO:[Rank-0] step time 0.3797, epoch   0, step  73/131, loss 5.47645023, auc@1 1.50, auc@5 6.46, share 19, std_loss 0.28083037095118873,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:33,918:INFO:[Rank-0] step time 0.3953, epoch   0, step  74/131, loss 5.46430126, auc@1 1.48, auc@5 6.49, share 19, std_loss 0.27885050578294573,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:34,334:INFO:[Rank-0] step time 0.4150, epoch   0, step  75/131, loss 5.45143080, auc@1 1.53, auc@5 6.58, share 19, std_loss 0.2769046899676323,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:34,714:INFO:[Rank-0] step time 0.3792, epoch   0, step  76/131, loss 5.43954579, auc@1 1.51, auc@5 6.63, share 19, std_loss 0.2749894868190351,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:35,109:INFO:[Rank-0] step time 0.3951, epoch   0, step  77/131, loss 5.42774306, auc@1 1.50, auc@5 6.67, share 19, std_loss 0.27310452029689564,  6.17826 6.36425 6.40560 6.74271
